cust_out_max,out_duration_max,area_cost_out_h,area_KW_h,wind_speed,impact_time,outage_slope,recovery_duration,recovery_slope,cust_normalized,gust,precipitation,ppocc,wind_direction,dew_point_temp,Air_temp,Pressure,RH,cummulative_customer_out
12278,2.5,0.011165320001276593,4.612442496141086,12.65,1.5,0.0037859883586562545,1.0,0.005678982537984382,0.005678982537984382,16.1,0.0,0.0,100.0,26.1,38.0,1024.7,68.26,35743
14659,1.5,0.008001477331016967,3.305445259900523,20.7,1.0,0.0067802740694179065,0.5,0.013560548138835813,0.0067802740694179065,28.75,0.0,0.0,230.0,54.3,83.0,1014.8,42.25,27269
6645,2.0,0.0050512093624118706,2.086676666448467,20.7,1.0,0.0030735330644165353,1.0,0.0030735330644165353,0.0030735330644165353,66.7,5.08,1.0,300.0,67.0,83.0,1011.0,81.27,13109
7326,2.0,0.0054410092104234635,2.2477046874771913,10.35,0.5,0.006777036337070139,1.5,0.0022590121123567133,0.0033885181685350697,28.75,8.38,1.0,340.0,64.4,71.0,1012.5,93.88,7326
5175,1.0,0.0017952069535390033,0.7416078393565563,8.05,0.5,0.004787218542770676,0.5,0.004787218542770676,0.002393609271385338,24.15,7.11,1.0,350.0,65.0,67.3,1013.9,100.0,5175
5613,1.0,0.001947149107287812,0.8043758072093432,14.95,0.5,0.005192397619434165,0.5,0.005192397619434165,0.0025961988097170825,24.15,0.0,0.0,280.0,75.4,93.0,1013.8,60.96,5613
5226,1.0,0.001812783214855456,0.748868669732221,13.8,0.75,0.0032229312856063837,0.25,0.00966879385681915,0.0024171984642047876,21.85,0.001,1.0,260.0,73.6,80.2,1009.6,84.36,10451
8454,5.0,0.015607373149115611,6.447474067727695,23.0,1.75,0.002234431776981824,3.25,0.0012031555722209822,0.003910255609718192,32.2,13.21,1.0,340.0,74.7,88.0,1023.5,100.0,43310
7680,2.5,0.00712058286582791,2.941543905941216,24.15,1.5,0.0023681699457957354,1.0,0.003552254918693603,0.003552254918693603,36.8,0.0,0.0,220.0,70.5,96.0,1010.4,56.17,26594
10122,3.0,0.010045989675334077,4.1500422459013775,12.65,0.5,0.009363521949743919,2.5,0.0018727043899487838,0.004681760974871959,32.2,13.97,1.0,350.0,69.0,71.0,1015.4,96.97,15430
5070,1.0,0.0017587824646266175,0.7265607237754088,9.2,0.5,0.004690086572337647,0.5,0.004690086572337647,0.0023450432861688237,28.75,1.52,1.0,240.0,69.0,71.0,1013.4,96.95,5070
6599,2.0,0.0049910800473819,2.0618369835843504,17.25,1.0,0.003052256537559777,1.0,0.003052256537559777,0.003052256537559777,25.3,1.02,1.0,350.0,68.0,71.0,1014.5,94.3,12817
11366,4.5,0.017657320258445047,7.294316178910498,23.0,1.0,0.0052571522663895165,3.5,0.001502043504682719,0.0052571522663895165,31.05,9.65,1.0,350.0,72.0,79.0,1022.1,94.06,31349
8566,4.5,0.014344541900188112,5.925792958960355,35.65,1.0,0.003962059327282474,3.5,0.0011320169506521354,0.003962059327282474,50.6,8.89,1.0,320.0,64.0,78.0,1012.9,91.03,32149
12824,5.5,0.02239470084971973,9.251348808256632,26.45,1.5,0.00395435044074017,4.0,0.0014828814152775638,0.005931525661110255,43.7,0.001,1.0,340.0,29.3,41.7,1024.7,73.72,56981
34319,4.5,0.04535288276124915,18.73547410612258,28.75,4.25,0.0037349827375810587,0.25,0.063494706538878,0.0158736766347195,44.85,4.83,1.0,40.0,37.0,39.2,1005.3,95.67,219467
101662,38.0,0.940430003233107,388.4957449551407,27.6,8.75,0.005373948505122457,29.25,0.0016075914331562904,0.04702204941982149,47.15,2.54,1.0,360.0,32.0,34.0,1016.9,96.44,1754641
14544,18.5,0.07596356071002545,31.380878966035382,16.1,0.5,0.01345416550455202,18.0,0.00037372681957088946,0.00672708275227601,21.85,0.001,1.0,360.0,16.7,25.0,1021.0,88.98,65379
5021,1.0,0.0017417843698008376,0.7195387365042064,21.85,0.5,0.004644758319468901,0.5,0.004644758319468901,0.0023223791597344503,31.05,0.001,1.0,300.0,-18.0,-8.0,1019.6,60.61,5021
10540,6.0,0.021239639834653636,8.774188054161135,23.0,3.5,0.001392885671243697,2.5,0.0019500399397411757,0.0048750998493529395,32.2,0.0,0.0,290.0,-29.4,-17.0,1028.4,57.17,39003
7335,4.5,0.012905254238307275,5.331216934711012,14.95,2.75,0.001233702169915605,1.75,0.0019386748384388078,0.0033926809672679137,24.15,0.76,1.0,100.0,32.5,34.0,1006.5,100.0,42013
6830,4.0,0.010100799858649857,4.172684572204438,40.25,2.75,0.0011487642563767664,1.25,0.002527281364028886,0.0031591017050361077,55.2,0.0,0.0,280.0,17.8,27.7,1016.6,70.48,24341
5768,1.0,0.002000918590920381,0.8265882159243703,33.35,0.5,0.005335782909121016,0.5,0.005335782909121016,0.002667891454560508,46.0,0.0,0.0,250.0,44.0,57.0,995.4,61.95,5768
